Name,SMILES
dds5_enamine64,CN(Cc1cn(CCc2cc(Cl)cc(Cl)c2)nn1)C(=O)C
dds5_enamine65,CCn1ccnc1[C@@H]1OCCC[C@H]1NC(=O)c1cccc(Cl)c1
dds5_enamine66,O=C(CCC1CCNCC1)NS(=O)(=O)c1cccc2ncccc12
dds5_enamine67,O[C@@H]1CNC[C@H]1CC(=O)NCc1cc(OC2CCC2)ccn1
dds5_enamine68,O[C@@H]1CC(Cn2ccnc2)C[C@H]1NC(=O)c1ccc(N2CCCC2)c(C#N)c1
dds5_enamine69,C[C@@H]1COC[C@@](CO)(CNC(=O)c2cc3COCCn3c2)N1C
dds5_enamine70,OCC1(CCCNC1)NC(=O)[C@@H]1C[C@H]1c1cccc2ccccc12
dds5_enamine71,CNC(=O)C1(CC1)NC(=O)c1cc(ccc1F)c1cc[nH]n1
dds5_enamine72,NC(=O)C1(CCN(Cc2nc(no2)c2cc(F)c(F)c(F)c2)C1)c1ccccc1
dds5_enamine73,Cc1nc(cn1C)S(=O)(=O)N1CCC(Cc2ccc(Cl)cc2)CC1
dds5_enamine74,Cc1nn(C)c(NC(=O)NCc2ccc(F)cc2)c1c1ccccc1
dds5_enamine75,CCC1(C)CCCN(C1)C(=O)c1cc(C)c(Br)o1
dds5_enamine76,Fc1ccc(C(=O)N[C@H]2CCCN(Cc3ccccn3)C2)c(Cl)c1
dds5_enamine77,CN(CC1(C)CCCO1)C(=O)C1CCN(CC1)c1ccc(C#N)cn1
dds5_enamine78,Fc1c(NC(=O)C2CCCO2)cccc1C#N
dds5_enamine79,CC(C)c1ccc(cc1)c1nc(CC(=O)NCCN2CCC(CO)C2)cs1
dds5_enamine80,CCSCc1ccccc1C(=O)N1CCc2c(C1)[nH]c(=O)[nH]c2=O
dds5_enamine81,Cc1n[nH]c2CCC(Cc12)NC(=O)c1oc2c(F)cccc2c1C
dds5_enamine82,NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)c1ncnc2ccsc12
dds5_enamine83,CN(C1CCOC1)S(=O)(=O)c1c(C)nn(c1C)c1ccc(Cl)cc1
dds5_enamine84,Fc1ccc(NC(=O)CC2COc3ccccc3O2)cc1
dds5_enamine85,Cc1nn(C)c2nc(cc(C(=O)N3C[C@@H](C4CCOC4)[C@@H](C3)C(=O)O)c12)C1CC1
dds5_enamine86,O=C(NCC1C2CCOCC12)N1CCN(CC1)c1ccccc1C#N
dds5_enamine87,O=C1CSc2nc(NC3CCS(=O)(=O)C4(CCC4)C3)ncc2N1
dds5_enamine88,CCOCc1nc(c2cccc(c2)c2n[nH]c(C)n2)n(CCOC)n1
