Name,SMILES
dds1_enamine64,NC(=O)C1(O)CCCN(CCS(=O)c2cc(Cl)ccc2Cl)C1
dds1_enamine65,CCCOc1ccc(C(=O)NS(=O)(=O)c2cnn3CCCOc23)c(OCCC)c1
dds1_enamine66,COC(=O)C1CN(CCO1)C(=O)NCc1ccnc(c1)N1CCN(C)CC1
dds1_enamine67,Cc1nn(Cc2ccc(F)cc2)c2sc(cc12)C(=O)NCCc1ccc(=O)[nH]c1
dds1_enamine68,CC(C)(C(=O)Nc1ccc(CC2NC(=O)NC2=O)cc1)c1ccccc1
dds1_enamine69,CCC(C)C(NC(=O)C)C(=O)NC1CC(C1)c1ccc(cc1)C(F)(F)F
dds1_enamine70,CC(C)(C)c1nsc(NC(=O)NCc2cccnc2)n1
dds1_enamine71,CC(CNCC1(CCOCC1)c1ccc2OCOc2c1)c1ccccc1
dds1_enamine72,Cc1nc(CN2CCN(CC2)c2ccc(nn2)C(=O)Nc2ccccc2)n[nH]1
dds1_enamine73,COc1ccc(cc1Br)S(=O)(=O)NC1(CCCCC1)c1noc(C)n1
dds1_enamine74,Cc1nc(NC(=O)C(C)(C)c2cccc(c2)C(F)(F)F)nn1C
dds1_enamine75,CC(C)CC1CC(CCO1)NC(=O)c1c[nH]nc1c1ccccc1
dds1_enamine76,CCc1nc(NS(=O)(=O)c2cc(C)ccc2C)no1
dds1_enamine77,Cl.COC(=O)c1coc(c1)S(=O)(=O)NC1CCCCC1CN
dds1_enamine78,COc1ccc(Cn2ccc(NC(=O)c3cnn(CCF)c3)n2)cc1
dds1_enamine79,COc1cccc2CN(CC(=O)NCC(C)(C)N3CCOCC3)CCc12
dds1_enamine80,Fc1cccc(OC2CCN(C2)S(=O)(=O)c2cccc(F)c2F)c1
dds1_enamine81,CN(Cc1ccncc1)C(=O)c1cn[nH]c1c1ccc2OCOc2c1
dds1_enamine82,O=C(CC1CCCC(=O)N1)NCc1nnc(C2CC2)n1C1CC1
dds1_enamine83,CC(C)c1nnc(CN2CCC(CC2)Oc2ncccc2C)n1C
dds1_enamine84,CNC(=O)C1(CCC1)c1nc(no1)c1ccc(cc1)N1CCCC1=O
dds1_enamine85,CC(=O)N1CCN(CC1)c1cc(ccn1)c1noc(n1)C(C)(C)F
