Name,SMILES,Affinity
brd_enamine10793,NC(=O)C1CN(C1)C(=O)NCC(c1c([nH]c2ccccc12)c1ccccc1)c1ccccc1,-10.056
CHEMBL4581411,COc1ccc2c([nH]c3nc(C)nc(-c4ccnc5ccccc45)c32)c1-c1c(C)noc1C,-10.05
brd_enamine12723,Cc1nn2c(cc(nc2c1c1ccccc1)c1ccccc1)n1ccnc1,-10.037
hll_enamine346805,O=C(NC(c1ccccc1)c1ccccc1)c1cccc(CN2CCCC2=O)c1,-10.031
hll_enamine220938,CC1(NC(=O)NC1=O)c1cccc(c1)C(=O)N1CCc2cc(F)cc(Br)c2C1,-10.025
CHEMBL4162832,Cc1nnn2c1-c1ccc(C(=O)N[C@@H](C)c3ccccc3)cc1N(c1ccc(Cl)cc1)CC2,-10.021
hll_enamine186633,Cc1nnc2c3ccccc3c(NC3CCN(CC3)c3ccccc3)nn12,-10.018
CHEMBL4167362,Cc1nnn2c1-c1ccc(C(=O)NS(C)(=O)=O)cc1N(c1ccc(Cl)cc1)CC2,-10.012
brd_enamine10737,NC(=O)c1cn(nn1)C1CN(C1)C(=O)c1cc(nc2ccccc12)c1cccc2ccccc12,-10.011
hll_enamine439259,O=C(N1CCN(CC1)C(=O)c1cc(nc2ccccc12)C1CC1)c1cccs1,-10.004
hll_enamine40703,Cc1cccc(NC(=O)C2CCCN(C2)C(=O)Cc2cccc3ccccc23)n1,-10.001
hll_enamine228357,O=c1n(nc(c2ccc3OCCOc3c2)c2ccccc12)c1ccccn1,-9.999
brd4_chemdiv2995,c12c(c(oc1cc1c(c(cc(=O)o1)c1ccccc1)c2)C)c1ccccc1,-9.994
hll_enamine41735,C[C@H]1[C@H](CCCN1C(=O)c1ccc2OCCCOc2c1)c1nnc(C)o1,-9.989
hll_enamine311575,CC1(NC(=O)NC1=O)C1CCN(CC1)C(=O)Cc1coc2ccc3ccccc3c12,-9.977
brd4_chemdiv1960,c12c(S(=O)(=O)c3ccc(cc3)Br)nnn1c1c(c(n2)Nc2ccc(cc2)C)scc1,-9.974
brd_enamine7617,C1Cc2cc(Nc3nccc4[nH]nc(c5ccccn5)c34)ccc2C=C1,-9.973
brd_enamine6642,CCC(=O)N1N=C(CC1c1ccccc1)c1c(C)nc2ccccc2c1c1ccc(Cl)cc1,-9.96
brd_enamine14177,CC1CC(C)CN(C1)S(=O)(=O)c1cccc(c1)c1cc(C)c(C#N)c2nc3ccccc3n12,-9.957
brd4_chemdiv798,c12c(S(=O)(=O)c3ccc(cc3)Br)nnn1c1c(c(n2)Nc2cc(ccc2)C)scc1,-9.956
hll_enamine387252,CC(C)c1cc(C(=O)N2CCC(CC2)c2ccn[nH]2)c2ccccc2n1,-9.948
hll_enamine220774,Cc1cc(C(=O)N2CC(C(=O)O)c3ccccc23)c2ccccc2n1,-9.943
brd4_chemdiv1127,c12c(c(c(o1)C)C)cc1c(c2C)oc(=O)cc1c1ccc(cc1)OC,-9.92
brd_enamine7417,Clc1ccc2nc(cc(c3ccccc3)c2c1)c1ccccc1NC(=O)c1ccco1,-9.916
brd4_chemdiv279,c12c(C(CC(=O)N1)c1ccc(cc1)c1ccccc1)cc1c(c2)OCO1,-9.915
hll_enamine201874,Cc1cc(C(=O)Nc2ccc3OCCOc3c2)c2ccccc2n1,-9.914
brd4_chemdiv1075,c1(c2c(nc(c1)c1ccc(cc1)C(C)C)ccc1c2cccn1)c1ccccc1,-9.913
brd_enamine4699,Cc1ccc2nc(cc(C(=O)N3CCn4c(nnc4C3)C(F)(F)F)c2c1)c1cccnc1,-9.912
brd_enamine12513,Fc1ccc2cncc(C(=O)NC(CNC(=O)c3cc[nH]n3)c3ccc4ccccc4c3)c2c1,-9.911
brd4_chemdiv3033,c1(c2c3c(oc(=O)c2)ccc(c3)C(C)(C)C)c(c2c(o1)ccc(c2)Cl)C,-9.906
hll_enamine276014,CC(C)(c1noc(n1)C1(C)CCNC(=O)C1)c1cccc2ccccc12,-9.904
hll_enamine436849,CS(=O)(=O)c1ccc(NC(=O)c2cc(nc3ccccc23)c2ccc(F)cc2)cc1,-9.904
brd_enamine3005,Cc1nn(c2ccccn2)c2nc(cc(C(=O)O)c12)c1ccc2OCOc2c1,-9.903
brd_enamine2253,Fc1ccc(cc1NC(=O)c1cccc(c1)N1NC(=O)C2CC=CCC2C1=O)C(F)(F)F,-9.9
brd4_chemdiv3854,S1(=O)(=O)C(=CN(c2c1ccc(c2)F)c1cc(Cl)ccc1)C(=O)c1ccc(cc1)C,-9.899
brd4_chemdiv41,c1(c2c3c(oc(=O)c2)cc2c(c3)CCC2)c(c2c(o1)ccc(c2)Br)C,-9.893
