Name,SMILES,Affinity
ab_enamine9465,FC(F)(F)Oc1ccc(cc1)C(=O)NS(=O)(=O)c1[nH]cc2c1CCS2(=O)=O,-8.667
ab_enamine3359,Cc1ncc2ccc(cn12)C(=O)N1CCc2c(NS(=O)(=O)C)cccc2C1,-8.66
ab_enamine25786,Oc1ccc(cc1)C1=CCN(CC1)C(=O)c1ccc(s1)[N+](=O)[O-],-8.656
ab_enamine15660,Fc1ccc(cc1)C(=O)NS(=O)(=O)c1ccc2[nH]nnc2c1,-8.65
ab_enamine25249,Cc1cnc(N2CCN(CC2)C(=O)c2cccc(F)c2)c(c1)[N+](=O)[O-],-8.641
ab_enamine26702,CC1CCN(CC1)S(=O)(=O)c1ccc(Oc2ccc3c(O)ccnc3c2)c(c1)[N+](=O)[O-],-8.641
ab_enamine22149,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N1CCN(CC1)c1ccccc1[N+](=O)[O-],-8.639
ab_enamine9606,CCc1cc(=O)[nH]c(n1)c1cccc(NC(=O)N2CCCC(C2)NS(=O)(=O)C)c1,-8.636
ab_enamine25840,Cc1ccc(NC(=O)c2ccc(cc2Cl)[N+](=O)[O-])cc1n1cnnn1,-8.634
ab_enamine2858,OC(=O)c1cc(ccc1F)S(=O)(=O)Nc1cccc(c1)c1nnc2CCCCCn12,-8.633
ab_enamine9837,Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(=O)C3CCOC3)cc2)n1,-8.63
ab_enamine24858,[O-][N+](=O)c1ccccc1N1CCN(CC1)C(=O)COc1ccc(F)cc1F,-8.627
ab_enamine12256,O=S(=O)(Nc1nc2ccccc2[nH]1)c1cccc(c1)c1nnco1,-8.627
ab_enamine17814,[O-][N+](=O)c1ccn(n1)C1CCN(CC1)C(=O)C1CCCc2[nH]ncc12,-8.615
ab_enamine26859,CC(=O)Nc1cccc(CN2C(C(Oc3cccc(c3)[N+](=O)[O-])C2=O)c2ccc(C#N)cc2)c1,-8.612
ab_enamine24726,[O-][N+](=O)c1cccc(c1)c1cc(NC(=O)C2CCCN(C2)c2ncccn2)[nH]n1,-8.609
ab_enamine24299,Cc1ccc(cc1[N+](=O)[O-])C(=O)Nc1ccc2nc3CCCn3c(=O)c2c1,-8.606
ab_enamine10406,Fc1cc2nc[nH]c2cc1C(=O)NS(=O)(=O)c1ccc2OCCOc2c1,-8.598
ab_enamine24782,Cc1nc2cc(F)ccc2cc1C(=O)OCc1nc2ccccc2c(=O)[nH]1,-8.597
ab_enamine20425,[O-][N+](=O)c1ccc(OCCNC(=O)c2ccc3[nH]nnc3c2)cc1,-8.594
ab_enamine26347,[O-][N+](=O)c1ccn(n1)c1cc(ccn1)C(=O)N1CCc2c(F)cc(F)cc2C1,-8.592
ab_enamine26864,Cc1ccc(cc1NC(=O)N1CCC(CC1)C1NC(=O)C1(C)C)C(=O)Nc1ccccc1,-8.59
ab_enamine8051,OC(=O)c1ccccc1NS(=O)(=O)c1cccc(c1)n1sc2ccccc2c1=O,-8.588
ab_enamine4458,CCOc1ccc(Oc2ccc(NS(=O)(=O)c3ccc4NC(=O)CC(=O)Nc4c3)cc2)cc1,-8.586
ab_enamine13132,Fc1ccc(cc1)S(=O)(=O)N1CCCC1C(=O)NS(=O)(=O)N1CCc2sccc2C1,-8.584
ab_enamine27370,Cc1nc2ccc(Cl)cc2cc1C(=O)OCc1cc(=O)oc2cc(O)ccc12,-8.581
ab_enamine889,Fc1ccc(CNS(=O)(=O)c2ccc3NC(=O)CC(=O)Nc3c2)cc1,-8.579
ab_enamine26630,Cc1nc2ccc(Cl)cc2cc1C(=O)OCc1cc(=O)n2ccsc2n1,-8.577
ab_enamine16312,NS(=O)(=O)c1ccc(O)c(NC(=O)Cc2noc3ccccc23)c1,-8.573
ab_enamine16320,CCC1(NC(=O)N(NC(=O)CNS(=O)(=O)c2ccc3OCCCOc3c2)C1=O)c1ccccc1,-8.569
ab_enamine26738,[O-][N+](=O)c1cccc(OCc2nnnn2c2ccc(cc2)C(F)(F)F)c1,-8.567
ab_enamine14901,CS(=O)(=O)Nc1ccc(O)c(c1)C(=O)NN1Cc2ccccc2C1,-8.561
ab_enamine28691,[O-][N+](=O)c1cc(ccc1Nc1ccccc1)C(=O)N1CCC(CC1)n1nnc2CCCCc12,-8.561
ab_enamine28199,[O-][N+](=O)c1ccc2oc(=O)n(CN3CCCCC3c3nc4ccccc4s3)c2c1,-8.56
ab_enamine21176,O=C(Oc1ccccc1)N1CCN(CC1)c1ccc2nnnn2n1,-8.549
ab_enamine24909,CCc1ccccc1n1cc(nn1)C(=O)N1CCC(CC1)C1NC(=O)C1(C)C,-8.544
ab_enamine27141,Cc1ccc2nc(C)c(cc2c1)C(=O)OCc1cc(=O)oc2cc(O)ccc12,-8.544
