Name,SMILES
ab_enamine58,COC1CC(CCNS(=O)(=O)c2ccc(nc2)C(=O)O)C1
ab_enamine59,CS(=O)(=O)NC1CCCN(C1)C(=O)NC1CCN2CCCCC12
ab_enamine60,CCNS(=O)(=O)c1ccc(CC(=O)N2CCCC2C(=O)O)cc1
ab_enamine61,OC(=O)COc1ccc(cc1)S(=O)(=O)NC1CCCOCC1
ab_enamine62,COc1ccc(cc1C(=O)O)S(=O)(=O)NCc1cc(C)nn1C
ab_enamine63,CS(=O)(=O)NCCN1C[C@@H](CN)[C@@H](C1)c1ccccc1
ab_enamine64,OC(=O)[C@@H]1C[C@H]1C(=O)NS(=O)(=O)CCC1CCc2ccccc12
ab_enamine65,OC(=O)c1ccc(cc1)S(=O)(=O)NCC(=O)N1CCC(CC1)C1CCCO1
ab_enamine66,CC1=CCCN(C1)C(=O)CNS(=O)(=O)c1ccc(cc1)C(=O)O
ab_enamine67,Cl.C[C@@H](NS(=O)(=O)CC1CCCC1(F)F)C(=O)O
ab_enamine68,COCCS(=O)(=O)Nc1ccc(cc1)c1nn(C)cc1C(=O)O
ab_enamine69,Cl.CC(NS(=O)(=O)C)C(=O)N1CCCC(C)C1CN
ab_enamine70,Cc1cc(C(=O)O)c(O)c(c1)S(=O)(=O)Nc1cnn(C)c1
ab_enamine71,Cl.CNCC(C)CNS(=O)(=O)CC1CCCCO1
ab_enamine72,CN(C)C(=O)c1cccc(c1)S(=O)(=O)NCC1(N)CCOCC1
ab_enamine73,COc1cccc(c1F)S(=O)(=O)NCC1OCCC1C(=O)O
ab_enamine74,CC1(C)CC1(C(=O)O)C(=O)NCc1cccc(CS(=O)(=O)N)c1
ab_enamine75,Cn1c(CCNS(=O)(=O)N2CCCC2C(=O)O)nc2c(F)cccc12
ab_enamine76,Cc1nnc(o1)c1ccccc1NS(=O)(=O)c1cc(ccc1O)C(=O)O
ab_enamine77,Cc1onc(N)c1S(=O)(=O)Nc1cccc(CCCC(=O)O)c1
ab_enamine78,COc1ccc(cc1CC(=O)O)S(=O)(=O)NCC(C)C#N
ab_enamine79,Cn1cc(cn1)C1(CNS(=O)(=O)CC2CCNCC2)CCCO1
ab_enamine80,CNS(=O)(=O)c1ccc(cc1)C(=O)N(C(C)C(=O)O)C1CC1
ab_enamine81,Cc1ccc(o1)C(=O)Nc1cccc(c1)S(=O)(=O)NCC(=O)O
ab_enamine82,COCCn1cc(NS(=O)(=O)c2ccc(C(=O)O)c(C)c2)cn1
ab_enamine83,CC1(CC1)S(=O)(=O)NC(C(=O)O)c1ccc(CO)cc1
ab_enamine84,NC1(CNS(=O)(=O)c2ccc(cc2)N2CCCC2=O)CCOCC1
ab_enamine85,Cn1cc(cc1C(=O)N)S(=O)(=O)NCc1ccc(cc1)C(=O)O
